sample_name,Observed,Shannon,Simpson,plate,well_position,well_pos,sample_id,site_code,site_replicate,latitude,longitude,environmental_sample,habitat,protected_area,site_name,east_or_west,notes,sampling_date,volume_ml,total_reads,len_mean,depth_flag,filtered_path,control,sample_name_orig,east_west
S1,128,4.571012887327236,0.9862255988181914,Plate 1,A01,A,1,Man_Kukup,1,1.334569,103.430838,water,mangrove,N,Kukup,West,Mangrove Kukup,2025-04-12 00:00:00,5000,3826,1481.76,ok,./data/16S/filtered/1_filtered.fastq.gz,NA,1,west
S2,204,4.926560046346053,0.9887492925199767,Plate 1,B01,B,2,Man_Kukup,2,1.339308,103.417687,water,mangrove,N,Kukup,West,Mangrove Kukup,2025-04-12 00:00:00,5000,7687,1476.32,ok,./data/16S/filtered/2_filtered.fastq.gz,NA,2,west
S3,138,4.610189269118392,0.9854035930020505,Plate 1,C01,C,3,Man_Kukup,3,1.32334,103.417405,water,mangrove,N,Kukup,West,Mangrove Kukup,2025-04-12 00:00:00,5000,3942,1480.97,ok,./data/16S/filtered/3_filtered.fastq.gz,NA,3,west
S4,104,4.421601656049507,0.9850512168137129,Plate 1,D01,D,4,Man_Kukup,4,1.307934,103.419101,water,mangrove,N,Kukup,West,Mangrove Kukup,2025-04-12 00:00:00,5000,2886,1478.25,ok,./data/16S/filtered/4_filtered.fastq.gz,NA,4,west
S5,141,4.58931034933135,0.9845216137126347,Plate 1,E01,E,5,Man_Kukup,5,1.31334,103.437827,water,mangrove,N,Kukup,West,Mangrove Kukup,2025-04-12 00:00:00,5000,4378,1475.93,ok,./data/16S/filtered/5_filtered.fastq.gz,NA,5,west
S6,54,3.03648771511725,0.8956129089849649,Plate 1,F01,F,6,Man_Batu_Pahat,1,1.814848,102.886778,water,mangrove,N,Batu Pahat,West,Mangrove Batu Pahat,2025-04-13 00:00:00,5000,4751,1486.17,ok,./data/16S/filtered/6_filtered.fastq.gz,NA,6,west
S7,51,2.9369068042544146,0.893635172835413,Plate 1,G01,G,7,Man_Batu_Pahat,2,1.819224,102.890102,water,mangrove,N,Batu Pahat,West,Mangrove Batu Pahat,2025-04-13 00:00:00,5000,5564,1488.23,ok,./data/16S/filtered/7_filtered.fastq.gz,NA,7,west
S8,91,3.0416961381637284,0.8924144558755821,Plate 1,A02,A,8,Man_Batu_Pahat,3,1.813331,102.893828,water,mangrove,N,Batu Pahat,West,Mangrove Batu Pahat,2025-04-13 00:00:00,5000,15069,1489.86,ok,./data/16S/filtered/8_filtered.fastq.gz,NA,8,west
S9,81,3.216099356881787,0.8934998047889028,Plate 1,B02,B,9,Man_Batu_Pahat,4,1.817167,102.892885,water,mangrove,N,Batu Pahat,West,Mangrove Batu Pahat,2025-04-13 00:00:00,5000,10793,1487.43,ok,./data/16S/filtered/9_filtered.fastq.gz,NA,9,west
S10,70,3.1902254232733465,0.9111397430574938,Plate 1,C02,C,10,Man_Batu_Pahat,5,1.822633,102.895415,water,mangrove,N,Batu Pahat,West,Mangrove Batu Pahat,2025-04-13 00:00:00,5000,7761,1486.51,ok,./data/16S/filtered/10_filtered.fastq.gz,NA,10,west
S11,389,5.421001861817827,0.9927005093005887,Plate 1,D02,D,11,Man_PPAF,1,2.400972,101.954072,water,mangrove,N,Pasir Panjang,West,Mangrove Pasir Panjang Amenity Forest,2025-04-14 00:00:00,5000,18781,1471.43,ok,./data/16S/filtered/11_filtered.fastq.gz,NA,11,west
S12,360,5.373088339914846,0.9922456818067502,Plate 1,E02,E,12,Man_PPAF,2,2.404443,101.949849,water,mangrove,N,Pasir Panjang,West,Mangrove Pasir Panjang Amenity Forest,2025-04-14 00:00:00,5000,15980,1470.56,ok,./data/16S/filtered/12_filtered.fastq.gz,NA,12,west
S13,380,5.451126719639718,0.9926547235291595,Plate 1,F02,F,13,Man_PPAF,3,2.40735,101.945124,water,mangrove,N,Pasir Panjang,West,Mangrove Pasir Panjang Amenity Forest,2025-04-14 00:00:00,5000,17067,1464.81,ok,./data/16S/filtered/13_filtered.fastq.gz,NA,13,west
S14,375,5.4527089397888915,0.9924817146524839,Plate 1,G02,G,14,Man_PPAF,4,2.408991,101.942416,water,mangrove,N,Pasir Panjang,West,Mangrove Pasir Panjang Amenity Forest,2025-04-14 00:00:00,5000,16555,1469.68,ok,./data/16S/filtered/14_filtered.fastq.gz,NA,14,west
S15,387,5.499769951218419,0.9935443695279939,Plate 1,A03,A,15,Man_PPAF,5,2.412531,101.939708,water,mangrove,N,Pasir Panjang,West,Mangrove Pasir Panjang Amenity Forest,2025-04-14 00:00:00,5000,16125,1467.78,ok,./data/16S/filtered/15_filtered.fastq.gz,NA,15,west
S16,221,5.079202004942811,0.990971108636555,Plate 1,B03,B,16,Cor_ PB_PP,1,2.416537,101.886223,water,coral,Y,Pulau Babi,West,Coral Pulau Babi_Pulau Perjudi,2025-04-15 00:00:00,5000,7566,1464.33,ok,./data/16S/filtered/16_filtered.fastq.gz,NA,16,west
