model,sample_name,group,dispersion
east_or_west,S1,West,0.40363951609687476
east_or_west,S2,West,0.4289635810484049
east_or_west,S3,West,0.3960968185053505
east_or_west,S4,West,0.39152932906866805
east_or_west,S5,West,0.38249569173326786
east_or_west,S6,West,0.7535131155465379
east_or_west,S7,West,0.7601162949146825
east_or_west,S8,West,0.6566592757582144
east_or_west,S9,West,0.6891344098033897
east_or_west,S10,West,0.7483341886606075
east_or_west,S11,West,0.5328138129876074
east_or_west,S12,West,0.5353891510487181
east_or_west,S13,West,0.5257369495747483
east_or_west,S14,West,0.5343068707984584
east_or_west,S15,West,0.5081654346238755
east_or_west,S16,West,0.44366443084095214
east_or_west,S17,West,0.417533311011611
east_or_west,S18,West,0.41645061542350403
east_or_west,S19,West,0.44390288529928235
east_or_west,S20,West,0.4161023708370605
east_or_west,S21,East,0.6676901582566218
east_or_west,S22,East,0.5049111907745429
east_or_west,S23,East,0.48674013575871494
east_or_west,S24,East,0.46241660065730417
east_or_west,S25,East,0.4594675201421546
east_or_west,S26,East,0.4906274044613291
east_or_west,S27,East,0.511808182375457
east_or_west,S28,East,0.595805452408626
east_or_west,S29,East,0.6879068442968522
east_or_west,S30,East,0.46650953822321595
east_or_west,S31,East,0.4301862223871206
east_or_west,S32,East,0.5092375215548058
east_or_west,S33,East,0.4920632750473562
east_or_west,S34,East,0.5454993865603901
east_or_west,S35,East,0.4456262409091213
east_or_west,S36,East,0.7371251484457715
east_or_west,S37,East,0.7591318896902254
east_or_west,S38,East,0.7469483466163184
east_or_west,S39,East,0.7520358484677029
east_or_west,S40,East,0.693031004738236
east_or_west,S41,East,0.47371361807783213
east_or_west,S42,East,0.46129181078680104
east_or_west,S43,East,0.4893412549143274
east_or_west,S44,East,0.46059205532559405
east_or_west,S45,East,0.4623274417334287
east_or_west,S46,East,0.5621614740179716
east_or_west,S47,East,0.6330204374657071
east_or_west,S48,East,0.5419913198717089
east_or_west,S49,East,0.6685884662576588
east_or_west,S50,East,0.5669461440190223
east_or_west,S51,East,0.5021721848163586
east_or_west,S52,East,0.49751178982049804
east_or_west,S53,East,0.5266133873128892
east_or_west,S54,East,0.5021633953418538
east_or_west,S55,East,0.5331034771183487
east_or_west,S56,West,0.40907270892673775
east_or_west,S57,West,0.4113948399252955
east_or_west,S58,West,0.43995270489563226
east_or_west,S59,West,0.4564349313523701
east_or_west,S60,West,0.4319989926679509
east_or_west,S61,West,0.3497149856766823
east_or_west,S62,West,0.39799480148348854
east_or_west,S63,West,0.3673740446458819
east_or_west,S64,West,0.3558890188834755
east_or_west,S65,West,0.353386314482366
east_or_west,S66,West,0.4535150314983809
east_or_west,S67,West,0.38327030164031145
east_or_west,S68,West,0.38381796976991256
east_or_west,S69,West,0.43123933977412854
east_or_west,S70,West,0.4401713270532182
east_or_west,S71,East,0.7552499632671259
east_or_west,S73,East,0.7558871483491318
east_or_west,S74,East,0.6351203384656686
east_or_west,S75,East,0.6219151040476023
east_or_west,S77,East,0.5062904565507396
east_or_west,S78,East,0.5021164704465646
east_or_west,S80,East,0.6324001940239052
east_or_west,S81,East,0.5001285981487328
east_or_west,S82,East,0.5650600528395244
east_or_west,S83,East,0.5299070390062841
east_or_west,S84,East,0.5240815680939427
east_or_west,S85,East,0.5137714271420123
east_or_west,S86,West,0.4545763821477151
east_or_west,S87,West,0.48924672216807197
east_or_west,S88,West,0.6111194125741393
east_or_west,S89,West,0.6507762346676428
east_or_west,S90,West,0.6950713809905256
east_or_west,S91,West,0.39544991187004885
east_or_west,S92,West,0.3759343080480159
east_or_west,S93,West,0.48843817130319067
east_or_west,S94,West,0.5863729065913981
east_or_west,S95,West,0.4230297447767876
east_or_west,S96,West,0.5794220752368713
east_or_west,S97,West,0.542706629410184
east_or_west,S98,West,0.5530405848189204
east_or_west,S99,West,0.5615884545555897
east_or_west,S100,West,0.5696446439603261
east_or_west,S101,West,0.6545940097001934
east_or_west,S102,West,0.70711939373101
east_or_west,S103,West,0.7121047414326409
east_or_west,S104,West,0.6519759591584996
east_or_west,S105,West,0.6515651662420189
east_or_west,S106,West,0.4138346872700966
east_or_west,S107,West,0.46380581525646425
east_or_west,S108,West,0.48445799118851146
east_or_west,S109,West,0.5382465553383976
east_or_west,S110,West,0.5269667688974119
habitat,S1,Mangrove,0.4444600172625393
habitat,S2,Mangrove,0.4702969124860354
habitat,S3,Mangrove,0.4462194084596531
habitat,S4,Mangrove,0.4318364412162371
habitat,S5,Mangrove,0.43896349834293047
habitat,S6,Mangrove,0.676054131968904
habitat,S7,Mangrove,0.6827849267862969
habitat,S8,Mangrove,0.5924406269668734
habitat,S9,Mangrove,0.6209828090815508
habitat,S10,Mangrove,0.6767659136048072
habitat,S11,Mangrove,0.5125304465803532
habitat,S12,Mangrove,0.5108465161424115
habitat,S13,Mangrove,0.5001587826333405
habitat,S14,Mangrove,0.5141465969410146
habitat,S15,Mangrove,0.49408024731392497
habitat,S16,Coral,0.4729688249562706
habitat,S17,Coral,0.45719661502486103
habitat,S18,Coral,0.455141556902594
habitat,S19,Coral,0.4849493389891211
habitat,S20,Coral,0.4612394712429337
habitat,S21,Mangrove,0.7573257469609063
habitat,S22,Mangrove,0.6131185968316631
habitat,S23,Mangrove,0.5926004563094952
habitat,S24,Mangrove,0.5714948443829606
habitat,S25,Mangrove,0.5239962182990038
habitat,S26,Seagrass,0.6161948444265932
habitat,S27,Seagrass,0.6157996047782478
habitat,S28,Seagrass,0.6747349117816046
habitat,S29,Seagrass,0.7747926393863137
habitat,S30,Seagrass,0.5755104992528515
habitat,S31,Coral,0.40956825290103005
habitat,S32,Coral,0.4992214854755282
habitat,S33,Coral,0.4967137100964291
habitat,S34,Coral,0.516522289542663
habitat,S35,Coral,0.44144104354121855
habitat,S36,Mangrove,0.7272848479362342
habitat,S37,Mangrove,0.7539512778937548
habitat,S38,Mangrove,0.7355832703827685
habitat,S39,Mangrove,0.7418656794065189
habitat,S40,Mangrove,0.6778263845185795
habitat,S41,Coral,0.46908578702676357
habitat,S42,Coral,0.4322322089080616
habitat,S43,Coral,0.48959010408132597
habitat,S44,Coral,0.44848449438237903
habitat,S45,Coral,0.4386041888220388
habitat,S46,Mangrove,0.4820904872288781
habitat,S47,Mangrove,0.589252340472067
habitat,S48,Mangrove,0.4757784191766605
habitat,S49,Mangrove,0.6779174424379272
habitat,S50,Mangrove,0.5443719875283085
habitat,S51,Seagrass,0.45112939905050475
habitat,S52,Seagrass,0.4657766699215988
habitat,S53,Seagrass,0.4501893774721521
habitat,S54,Seagrass,0.42325420717899737
habitat,S55,Seagrass,0.457454545047978
