term,df,sum_of_sqs,r2,statistic,p.value,model
Model,1,2.5703405747933976,0.0763481638528807,8.679198038508085,0.001,east_or_west
Residual,105,31.09570252411234,0.9236518361471197,NA,NA,east_or_west
Total,106,33.666043098905725,1,NA,NA,east_or_west
Model,2,2.771055016249496,0.08231008937131569,4.664020599699325,0.001,habitat
Residual,104,30.894988082656226,0.9176899106286842,NA,NA,habitat
Total,106,33.666043098905725,1,NA,NA,habitat
Model,21,21.481124887428724,0.6380650326003694,7.13565809385114,0.001,site_code
Residual,85,12.184918211477008,0.36193496739963077,NA,NA,site_code
Total,106,33.666043098905725,1,NA,NA,site_code
Model,1,2.164623531684114,0.0642969393618602,7.215086619884611,0.001,protected_area
Residual,105,31.501419567221618,0.93570306063814,NA,NA,protected_area
Total,106,33.666043098905725,1,NA,NA,protected_area
Model,3,5.150502189961656,0.15298804717947584,6.201316997165985,0.001,east_or_west_plus_habitat
Residual,103,28.515540908944075,0.8470119528205243,NA,NA,east_or_west_plus_habitat
Total,106,33.666043098905725,1,NA,NA,east_or_west_plus_habitat
Model,5,6.453682474970146,0.19169708943846492,4.790631279512383,0.001,east_or_west_by_habitat
Residual,101,27.21236062393559,0.8083029105615355,NA,NA,east_or_west_by_habitat
Total,106,33.666043098905725,1,NA,NA,east_or_west_by_habitat
Model,4,6.112979964703403,0.18157702545393872,5.657483102357416,0.001,east_or_west_plus_habitat_plus_protected_area
Residual,102,27.553063134202333,0.8184229745460616,NA,NA,east_or_west_plus_habitat_plus_protected_area
Total,106,33.666043098905725,1,NA,NA,east_or_west_plus_habitat_plus_protected_area
Model,6,7.40119052414981,0.21984141416341196,4.69651124259711,0.001,east_or_west_by_habitat_plus_protected_area
Residual,100,26.264852574755924,0.7801585858365884,NA,NA,east_or_west_by_habitat_plus_protected_area
Total,106,33.666043098905725,1,NA,NA,east_or_west_by_habitat_plus_protected_area
Model,1,2.164623531684114,0.0642969393618602,7.215086619884611,1,protected_area_blocked_by_site
Residual,105,31.501419567221618,0.93570306063814,NA,NA,protected_area_blocked_by_site
Total,106,33.666043098905725,1,NA,NA,protected_area_blocked_by_site
