sample_id,latitude,longitude,habitat,east_or_west,site_code,protected_area,control,BO22_tempmean_ss,BO22_temprange_ss,BO22_salinitymean_ss,BO22_salinityrange_ss,BO22_chlomean_ss,BO22_chlorange_ss,BO22_nitratemean_ss,BO22_phosphatemean_ss,BO22_dissoxmean_ss,BO22_ph,BO22_parmean,env_missing
1,1.334569,103.430838,Mangrove,West,Man_Kukup,N,NA,29.294193,3.266045,29.66126,2.666059,0.31554,0.433254,0.746737,0.018737,203.193989,7.579999923706055,40.98899841308594,TRUE
2,1.339308,103.417687,Mangrove,West,Man_Kukup,N,NA,29.294193,3.266045,29.66126,2.666059,0.31554,0.433254,0.746737,0.018737,203.193989,7.579999923706055,40.98899841308594,TRUE
3,1.32334,103.417405,Mangrove,West,Man_Kukup,N,NA,29.270119,3.501022,29.956773,2.797103,0.492685,0.613896,0.520219,0.049747,204.67502,7.627999782562256,40.189998626708984,FALSE
4,1.307934,103.419101,Mangrove,West,Man_Kukup,N,NA,29.270119,3.501022,29.956773,2.797103,0.492685,0.613896,0.520219,0.049747,204.67502,7.627999782562256,40.189998626708984,FALSE
5,1.31334,103.437827,Mangrove,West,Man_Kukup,N,NA,29.270119,3.501022,29.956773,2.797103,0.492685,0.613896,0.520219,0.049747,204.67502,7.627999782562256,40.189998626708984,FALSE
6,1.814848,102.886778,Mangrove,West,Man_Batu_Pahat,N,NA,29.342325,3.358809,28.497757,2.023329,0.223099,0.305684,0.94832,0.003852,202.200629,7.6529998779296875,41.65299987792969,FALSE
7,1.819224,102.890102,Mangrove,West,Man_Batu_Pahat,N,NA,29.342325,3.358809,28.497757,2.023329,0.223099,0.305684,0.94832,0.003852,202.200629,7.6529998779296875,41.65299987792969,FALSE
8,1.813331,102.893828,Mangrove,West,Man_Batu_Pahat,N,NA,29.342325,3.358809,28.497757,2.023329,0.223099,0.305684,0.94832,0.003852,202.200629,7.6529998779296875,41.65299987792969,FALSE
9,1.817167,102.892885,Mangrove,West,Man_Batu_Pahat,N,NA,29.342325,3.358809,28.497757,2.023329,0.223099,0.305684,0.94832,0.003852,202.200629,7.6529998779296875,41.65299987792969,FALSE
10,1.822633,102.895415,Mangrove,West,Man_Batu_Pahat,N,NA,29.342325,3.358809,28.497757,2.023329,0.223099,0.305684,0.94832,0.003852,202.200629,7.6529998779296875,41.65299987792969,FALSE
11,2.400972,101.954072,Mangrove,West,Man_PPAF,N,NA,29.452536,3.1971,25.989247,3.835197,0.137793,0.128266,2.925399,3.56e-4,202.332699,7.76200008392334,44.058998107910156,FALSE
12,2.404443,101.949849,Mangrove,West,Man_PPAF,N,NA,29.452536,3.1971,25.989247,3.835197,0.137793,0.128266,2.925399,3.56e-4,202.332699,7.76200008392334,44.058998107910156,FALSE
13,2.40735,101.945124,Mangrove,West,Man_PPAF,N,NA,29.452536,3.1971,25.989247,3.835197,0.137793,0.128266,2.925399,3.56e-4,202.332699,7.76200008392334,44.058998107910156,FALSE
