sample_id,latitude,longitude,habitat,east_or_west,site_code,protected_area,control
1,1.334569,103.430838,Mangrove,West,Man_Kukup,N,NA
2,1.339308,103.417687,Mangrove,West,Man_Kukup,N,NA
3,1.32334,103.417405,Mangrove,West,Man_Kukup,N,NA
4,1.307934,103.419101,Mangrove,West,Man_Kukup,N,NA
5,1.31334,103.437827,Mangrove,West,Man_Kukup,N,NA
6,1.814848,102.886778,Mangrove,West,Man_Batu_Pahat,N,NA
7,1.819224,102.890102,Mangrove,West,Man_Batu_Pahat,N,NA
8,1.813331,102.893828,Mangrove,West,Man_Batu_Pahat,N,NA
9,1.817167,102.892885,Mangrove,West,Man_Batu_Pahat,N,NA
10,1.822633,102.895415,Mangrove,West,Man_Batu_Pahat,N,NA
11,2.400972,101.954072,Mangrove,West,Man_PPAF,N,NA
12,2.404443,101.949849,Mangrove,West,Man_PPAF,N,NA
13,2.40735,101.945124,Mangrove,West,Man_PPAF,N,NA
14,2.408991,101.942416,Mangrove,West,Man_PPAF,N,NA
15,2.412531,101.939708,Mangrove,West,Man_PPAF,N,NA
16,2.416537,101.886223,Coral,West,Cor_ PB_PP,Y,NA
17,2.415967,101.889648,Coral,West,Cor_ PB_PP,Y,NA
18,2.414291,101.892398,Coral,West,Cor_ PB_PP,Y,NA
19,2.413761,101.895526,Coral,West,Cor_ PB_PP,Y,NA
20,2.417129,101.883533,Coral,West,Cor_ PB_PP,Y,NA
21,2.287462,104.109177,Mangrove,East,Man_Pulau_Tinggi,Y,NA
22,2.289198,104.110969,Mangrove,East,Man_Pulau_Tinggi,Y,NA
23,2.290686,104.110262,Mangrove,East,Man_Pulau_Tinggi,Y,NA
24,2.290271,104.108844,Mangrove,East,Man_Pulau_Tinggi,Y,NA
25,2.289627,104.110053,Mangrove,East,Man_Pulau_Tinggi,Y,NA
26,2.280441,104.113867,Seagrass,East,SeG_PulauTinggi,Y,NA
27,2.279617,104.11021,Seagrass,East,SeG_PulauTinggi,Y,NA
28,2.282247,104.106545,Seagrass,East,SeG_PulauTinggi,Y,NA
29,2.28497,104.105134,Seagrass,East,SeG_PulauTinggi,Y,NA
30,2.288352,104.10363,Seagrass,East,SeG_PulauTinggi,Y,NA
31,2.312019,104.091371,Coral,East,Cor_Pulau_Tinggi,Y,NA
32,2.309456,104.09154,Coral,East,Cor_Pulau_Tinggi,Y,NA
33,2.302878,104.092553,Coral,East,Cor_Pulau_Tinggi,Y,NA
34,2.303181,104.092958,Coral,East,Cor_Pulau_Tinggi,Y,NA
35,2.301022,104.093701,Coral,East,Cor_Pulau_Tinggi,Y,NA
36,3.109037,103.443207,Mangrove,East,Man_Nenasi,N,NA
37,3.101512,103.446143,Mangrove,East,Man_Nenasi,N,NA
38,3.094182,103.442717,Mangrove,East,Man_Nenasi,N,NA
39,3.087342,103.44027,Mangrove,East,Man_Nenasi,N,NA
40,3.078358,103.442128,Mangrove,East,Man_Nenasi,N,NA
41,4.053491,103.404452,Coral,East,Cor_Pulau_Ular,N,NA
42,4.054416,103.409527,Coral,East,Cor_Pulau_Ular,N,NA
43,4.057277,103.409519,Coral,East,Cor_Pulau_Ular,N,NA
