site_code,habitat,east_or_west,protected_area,BO22_tempmean_ss,BO22_temprange_ss,BO22_salinitymean_ss,BO22_salinityrange_ss,BO22_chlomean_ss,BO22_chlorange_ss,BO22_nitratemean_ss,BO22_phosphatemean_ss,BO22_dissoxmean_ss,BO22_ph,BO22_parmean,n_samples
Cor_ PB_PP,Coral,West,Y,29.4550194,3.2206982,26.404152800000002,4.0145848,0.1248454,0.1180242,2.6850986,3.006e-4,201.659008,7.76440019607544,45.06340103149414,5
Cor_Pulau_Bidong,Coral,East,N,29.179352,4.008957,30.629362,3.80157,0.191967,0.256079,0.022708,0.030364,201.283812,8.0839996337890625,43.909000396728516,3
Cor_Pulau_Intan,Coral,West,N,29.784487,3.546232,31.793597,3.407893,0.131388,0.148388,0.014809,0.05064,197.872289,8.217000007629395,43.9010009765625,5
Cor_Pulau_Pangkor,Coral,West,N,29.700733,2.285265,30.716178,4.24309,0.287891,0.447905,0.622962,0.007953,199.177122,8.145999908447266,45.9379997253418,5
Cor_Pulau_Redang,Coral,East,Y,29.204514,4.065586,30.527526,4.030961,0.189709,0.263691,0.020324,0.028974,201.206687,8.093000411987305,43.625,4
Cor_Pulau_Tinggi,Coral,East,Y,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,5
Cor_Pulau_Ular,Coral,East,N,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,5
ManSeG_Paka,Seagrass,East,N,28.888735,4.027735,31.357877,2.545703,0.215832,0.267691,0.012395,0.04257,201.577455,8.026000022888184,44.40800094604492,5
Man_Batu_Pahat,Mangrove,West,N,29.342325,3.358809,28.497757,2.023329,0.223099,0.305684,0.94832,0.003852,202.200629,7.6529998779296875,41.65299987792969,5
Man_Kuala_Sepetang,Mangrove,West,N,29.839277,2.392063,30.194898,5.08819,0.284639,0.426225,0.479684,0.015853,199.339419,8.204999923706055,45.87200164794922,5
Man_Kukup,Mangrove,West,N,29.2797486,3.4070312,29.8385678,2.7446854,0.421827,0.5416392,0.6108262,0.037343,204.0826076,7.608799839019776,40.50959854125976,5
Man_Merang,Mangrove,East,N,29.2034,3.968271,30.496283,4.015471,0.207327,0.264745,0.029275,0.029974,201.344623,8.067000389099121,43.926998138427734,5
Man_Nenasi,Mangrove,East,N,28.9848982,4.0903732,30.8368064,4.1473242,0.650376,0.5882883999999999,0.1595576,0.050263,205.86071220000002,7.878200054168701,42.72739944458008,5
Man_PPAF,Mangrove,West,N,29.452536,3.1971,25.989247,3.835197,0.137793,0.128266,2.925399,3.56e-4,202.332699,7.76200008392334,44.058998107910156,5
Man_Penaga,Mangrove,West,N,29.843477,3.065662,31.495632,3.7802,0.309601,0.502881,0.21746,0.03112,199.735517,8.234999656677246,46.06999969482422,5
Man_Pulau_Ketam,Mangrove,West,N,29.5818522,2.4283158,29.6639322,4.4618544,0.1353408,0.215763,0.8253322,0.0018936,198.36773,7.930400085449219,43.65059967041016,5
Man_Pulau_Tinggi,Mangrove,East,Y,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,5
Man_Selat_Nyior,Mangrove,West,N,29.78322,3.592682,31.74593,3.485985,0.146567,0.175396,0.019372,0.048647,197.841597,8.220999717712402,44.46500015258789,5
Man_Sungai_Ular,Mangrove,East,N,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,5
SeG_PulauTinggi,Seagrass,East,Y,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,5
SeG_Pulau_Kezambo,Seagrass,West,N,29.882948,2.66,31.331288,3.671192,0.203405,0.306638,0.174058,0.02989,199.039406,8.2089996337890625,45.65299987792969,5
SeG_Tanjung_Rhu,Seagrass,West,N,29.745621,3.786837,31.682629,3.639907,0.161727,0.180158,0.018072,0.050539,197.594297,8.227999687194824,44.28799819946289,5
