sample_1,sample_2,distance,pair_id,original_sample_id_1,habitat_1,coast_1,site_1,latitude_1,longitude_1,original_sample_id_2,habitat_2,coast_2,site_2,latitude_2,longitude_2,same_habitat,same_coast,same_site,pair_category
S1,S2,0.38189229905516614,S1__S2,1,Mangrove,West,Man_Kukup,1.334569,103.430838,2,Mangrove,West,Man_Kukup,1.339308,103.417687,TRUE,TRUE,TRUE,Same habitat / same coast
S1,S3,0.3498548245240962,S1__S3,1,Mangrove,West,Man_Kukup,1.334569,103.430838,3,Mangrove,West,Man_Kukup,1.32334,103.417405,TRUE,TRUE,TRUE,Same habitat / same coast
S1,S4,0.3867620010507329,S1__S4,1,Mangrove,West,Man_Kukup,1.334569,103.430838,4,Mangrove,West,Man_Kukup,1.307934,103.419101,TRUE,TRUE,TRUE,Same habitat / same coast
S1,S5,0.4313605665234107,S1__S5,1,Mangrove,West,Man_Kukup,1.334569,103.430838,5,Mangrove,West,Man_Kukup,1.31334,103.437827,TRUE,TRUE,TRUE,Same habitat / same coast
S1,S6,0.9273751215658872,S1__S6,1,Mangrove,West,Man_Kukup,1.334569,103.430838,6,Mangrove,West,Man_Batu_Pahat,1.814848,102.886778,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S7,0.9291245921652137,S1__S7,1,Mangrove,West,Man_Kukup,1.334569,103.430838,7,Mangrove,West,Man_Batu_Pahat,1.819224,102.890102,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S8,0.8280174814817172,S1__S8,1,Mangrove,West,Man_Kukup,1.334569,103.430838,8,Mangrove,West,Man_Batu_Pahat,1.813331,102.893828,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S9,0.8784432755382876,S1__S9,1,Mangrove,West,Man_Kukup,1.334569,103.430838,9,Mangrove,West,Man_Batu_Pahat,1.817167,102.892885,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S10,0.926715213707135,S1__S10,1,Mangrove,West,Man_Kukup,1.334569,103.430838,10,Mangrove,West,Man_Batu_Pahat,1.822633,102.895415,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S11,0.6620717437528904,S1__S11,1,Mangrove,West,Man_Kukup,1.334569,103.430838,11,Mangrove,West,Man_PPAF,2.400972,101.954072,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S12,0.6676854335931802,S1__S12,1,Mangrove,West,Man_Kukup,1.334569,103.430838,12,Mangrove,West,Man_PPAF,2.404443,101.949849,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S13,0.6598961977511681,S1__S13,1,Mangrove,West,Man_Kukup,1.334569,103.430838,13,Mangrove,West,Man_PPAF,2.40735,101.945124,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S14,0.6705665423713071,S1__S14,1,Mangrove,West,Man_Kukup,1.334569,103.430838,14,Mangrove,West,Man_PPAF,2.408991,101.942416,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S15,0.6535018942124349,S1__S15,1,Mangrove,West,Man_Kukup,1.334569,103.430838,15,Mangrove,West,Man_PPAF,2.412531,101.939708,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S16,0.5716777035335494,S1__S16,1,Mangrove,West,Man_Kukup,1.334569,103.430838,16,Coral,West,Cor_ PB_PP,2.416537,101.886223,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S17,0.5443304559752837,S1__S17,1,Mangrove,West,Man_Kukup,1.334569,103.430838,17,Coral,West,Cor_ PB_PP,2.415967,101.889648,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S18,0.5559502238104893,S1__S18,1,Mangrove,West,Man_Kukup,1.334569,103.430838,18,Coral,West,Cor_ PB_PP,2.414291,101.892398,FALSE,TRUE,FALSE,Different habitat / same coast
