site_1,site_2,distance,pair_id,habitat_1,coast_1,habitat_2,coast_2,same_habitat,same_coast,pair_category
Cor_ PB_PP,Cor_Pulau_Bidong,0.5584799507487836,Cor_ PB_PP__Cor_Pulau_Bidong,Coral,West,Coral,East,TRUE,FALSE,Same habitat / different coast
Cor_ PB_PP,Cor_Pulau_Intan,0.37844764732053443,Cor_ PB_PP__Cor_Pulau_Intan,Coral,West,Coral,West,TRUE,TRUE,Same habitat / same coast
Cor_ PB_PP,Cor_Pulau_Pangkor,0.47890860187310524,Cor_ PB_PP__Cor_Pulau_Pangkor,Coral,West,Coral,West,TRUE,TRUE,Same habitat / same coast
Cor_ PB_PP,Cor_Pulau_Redang,0.6844596719615722,Cor_ PB_PP__Cor_Pulau_Redang,Coral,West,Coral,East,TRUE,FALSE,Same habitat / different coast
Cor_ PB_PP,Cor_Pulau_Tinggi,0.4943004935520307,Cor_ PB_PP__Cor_Pulau_Tinggi,Coral,West,Coral,East,TRUE,FALSE,Same habitat / different coast
Cor_ PB_PP,Cor_Pulau_Ular,0.4315249760582321,Cor_ PB_PP__Cor_Pulau_Ular,Coral,West,Coral,East,TRUE,FALSE,Same habitat / different coast
Cor_ PB_PP,Man_Batu_Pahat,0.8329641275281681,Cor_ PB_PP__Man_Batu_Pahat,Coral,West,Mangrove,West,FALSE,TRUE,Different habitat / same coast
Cor_ PB_PP,Man_Kuala_Sepetang,0.629775790873675,Cor_ PB_PP__Man_Kuala_Sepetang,Coral,West,Mangrove,West,FALSE,TRUE,Different habitat / same coast
Cor_ PB_PP,Man_Kukup,0.3809497058119795,Cor_ PB_PP__Man_Kukup,Coral,West,Mangrove,West,FALSE,TRUE,Different habitat / same coast
Cor_ PB_PP,Man_Merang,0.3526812614671674,Cor_ PB_PP__Man_Merang,Coral,West,Mangrove,East,FALSE,FALSE,Different habitat / different coast
Cor_ PB_PP,Man_Nenasi,0.8375129784604168,Cor_ PB_PP__Man_Nenasi,Coral,West,Mangrove,East,FALSE,FALSE,Different habitat / different coast
Cor_ PB_PP,Man_Penaga,0.6109162769451008,Cor_ PB_PP__Man_Penaga,Coral,West,Mangrove,West,FALSE,TRUE,Different habitat / same coast
Cor_ PB_PP,Man_PPAF,0.38541890926558103,Cor_ PB_PP__Man_PPAF,Coral,West,Mangrove,West,FALSE,TRUE,Different habitat / same coast
Cor_ PB_PP,Man_Pulau_Ketam,0.48618058827999605,Cor_ PB_PP__Man_Pulau_Ketam,Coral,West,Mangrove,West,FALSE,TRUE,Different habitat / same coast
Cor_ PB_PP,Man_Pulau_Tinggi,0.32742949274717154,Cor_ PB_PP__Man_Pulau_Tinggi,Coral,West,Mangrove,East,FALSE,FALSE,Different habitat / different coast
Cor_ PB_PP,Man_Selat_Nyior,0.4199426124455819,Cor_ PB_PP__Man_Selat_Nyior,Coral,West,Mangrove,West,FALSE,TRUE,Different habitat / same coast
Cor_ PB_PP,Man_Sungai_Ular,0.5325676043014371,Cor_ PB_PP__Man_Sungai_Ular,Coral,West,Mangrove,East,FALSE,FALSE,Different habitat / different coast
Cor_ PB_PP,ManSeG_Paka,0.3685598806035319,Cor_ PB_PP__ManSeG_Paka,Coral,West,Seagrass,East,FALSE,FALSE,Different habitat / different coast
