OTU,taxonomy,east_or_west,mean_rel_abund,median_rel_abund,prevalence,max_coast,max_mean_rel_abund
Taxon_162,Ferrovaceae: Ferrovum,East,0.09557280955470093,0,0.3829787234042553,East,0.09557280955470093
Taxon_162,Ferrovaceae: Ferrovum,West,0.043536270473790724,0,0.16666666666666666,East,0.09557280955470093
Taxon_61,Chitinophagales,East,0.06465248290894475,0,0.3191489361702128,East,0.06465248290894475
Taxon_61,Chitinophagales,West,0.0010792634802406693,0,0.06666666666666667,East,0.06465248290894475
Taxon_98,Acholeplasmataceae: Acholeplasma,East,0.058726193630956505,0.016526138279932545,0.6382978723404256,East,0.058726193630956505
Taxon_98,Acholeplasmataceae: Acholeplasma,West,0.005553456588259908,0,0.4666666666666667,East,0.058726193630956505
Taxon_84,Flavobacteriaceae,East,0.054285899860468854,0.03531598513011153,0.6170212765957447,East,0.054285899860468854
Taxon_84,Flavobacteriaceae,West,0.014827164173256321,0,0.43333333333333335,East,0.054285899860468854
Taxon_96,NS9 marine group,East,0.03120230154923492,0,0.48936170212765956,East,0.03120230154923492
Taxon_96,NS9 marine group,West,0.008211809062553484,0,0.4166666666666667,East,0.03120230154923492
Taxon_82,Flavobacteriaceae: NS2b marine group,East,0.028800376777401236,0.011583011583011582,0.5957446808510638,East,0.028800376777401236
Taxon_82,Flavobacteriaceae: NS2b marine group,West,0.0051393785069078985,0.002059934558643903,0.5666666666666667,East,0.028800376777401236
Taxon_95,Crocinitomicaceae: Fluviicola,East,0.02461621852757272,0.010318142734307825,0.5531914893617021,East,0.02461621852757272
Taxon_95,Crocinitomicaceae: Fluviicola,West,0.014465215076719598,0,0.45,East,0.02461621852757272
Taxon_18,Phycisphaeraceae: CL500-3,East,0.02118203711586686,0,0.40425531914893614,East,0.02118203711586686
Taxon_18,Phycisphaeraceae: CL500-3,West,5.339974051837268e-4,0,0.05,East,0.02118203711586686
Taxon_88,NS11-12 marine group,East,0.01087388632885134,0,0.2765957446808511,East,0.01087388632885134
Taxon_88,NS11-12 marine group,West,0.0015351944589869668,0,0.16666666666666666,East,0.01087388632885134
Taxon_203,Beijerinckiaceae,East,0.0028856668203825534,0,0.2127659574468085,East,0.0028856668203825534
Taxon_203,Beijerinckiaceae,West,4.654611798857629e-4,0,0.05,East,0.0028856668203825534
Taxon_42,Ilumatobacteraceae: Ilumatobacter,East,0.0028047158243362665,0,0.2978723404255319,East,0.0028047158243362665
Taxon_42,Ilumatobacteraceae: Ilumatobacter,West,0.0015472710866388383,0,0.15,East,0.0028047158243362665
Taxon_99,Cyanobiaceae: Cyanobium PCC-6307,East,0.02080056551949042,0.010083296799649276,0.5319148936170213,West,0.06399934645271153
Taxon_99,Cyanobiaceae: Cyanobium PCC-6307,West,0.06399934645271153,0.05808322462894307,0.9166666666666666,West,0.06399934645271153
Taxon_56,Actinomarinaceae: Candidatus Actinomarina,East,0.004873363438713016,0,0.3191489361702128,West,0.03652134317564819
Taxon_56,Actinomarinaceae: Candidatus Actinomarina,West,0.03652134317564819,0.027242974847784162,0.7166666666666667,West,0.03652134317564819
Taxon_137,SAR86 clade,East,0.010421233077750844,0,0.40425531914893614,West,0.031449705146176586
Taxon_137,SAR86 clade,West,0.031449705146176586,0.019567015072768403,0.7333333333333333,West,0.031449705146176586
Taxon_170,Clade I: Clade Ia,East,0.0048443473269533174,0,0.2127659574468085,West,0.030142315882781223
Taxon_170,Clade I: Clade Ia,West,0.030142315882781223,0.01008420563000205,0.5833333333333334,West,0.030142315882781223
Taxon_85,Flavobacteriaceae: NS5 marine group,East,3.986962371209842e-4,0,0.14893617021276595,West,0.023469618427029368
Taxon_85,Flavobacteriaceae: NS5 marine group,West,0.023469618427029368,0.01696822829722229,0.7666666666666667,West,0.023469618427029368
Taxon_93,Crocinitomicaceae: Salinirepens,East,3.25868838083859e-4,0,0.10638297872340426,West,0.01633940360454829
Taxon_93,Crocinitomicaceae: Salinirepens,West,0.01633940360454829,0.003585301691334128,0.6,West,0.01633940360454829
Taxon_166,AEGEAN-169 marine group,East,0.0011655149411217097,0,0.23404255319148937,West,0.006554955340700122
Taxon_166,AEGEAN-169 marine group,West,0.006554955340700122,0.0035725309815860043,0.6,West,0.006554955340700122
Taxon_24,Pedosphaeraceae: SCGC AAA164-E04,East,2.8093802264179913e-4,0,0.0851063829787234,West,0.005367137457504115
Taxon_24,Pedosphaeraceae: SCGC AAA164-E04,West,0.005367137457504115,5.540933647319574e-4,0.5,West,0.005367137457504115
Taxon_142,Nitrosomonadaceae: IS-44,East,1.2277117058654964e-4,0,0.0851063829787234,West,0.00364726971053688
Taxon_142,Nitrosomonadaceae: IS-44,West,0.00364726971053688,0,0.38333333333333336,West,0.00364726971053688
Taxon_129,OM182 clade,East,6.987249121361473e-5,0,0.0425531914893617,West,0.0017711961996603118
Taxon_129,OM182 clade,West,0.0017711961996603118,0,0.35,West,0.0017711961996603118
