OTU,taxonomy,max_habitat,max_mean_rel_abund,prevalence
Taxon_100,Cyanobiaceae: Synechococcus CC9902,Seagrass,0.2629782537209706,1
Taxon_11,Pirellulaceae: Pirellula,Seagrass,0.0017189456667083736,0.25
Taxon_112,Halieaceae: OM60(NOR5) clade,Coral,0.005221041967663826,0.3125
Taxon_132,Nitrincolaceae: Marinobacterium,Mangrove,0.02691372947416844,0.4909090909090909
Taxon_14,Pirellulaceae: Mariniblastus,Coral,0.009290187202214098,0.5
Taxon_18,Phycisphaeraceae: CL500-3,Seagrass,0.01943540892193309,0.1
Taxon_220,Paracoccaceae: Marivivens,Seagrass,0.02988315551996579,0.55
Taxon_225,Paracoccaceae: Roseovarius,Seagrass,0.005762004441129228,0.25
Taxon_30,DEV007,Coral,0.003173013558503123,0.34375
Taxon_6,Planctomycetota,Coral,0.020290072529840046,0.5
Taxon_74,Flavobacteriaceae: Pseudotenacibaculum,Coral,0.023170220326415483,0.53125
Taxon_82,Flavobacteriaceae: NS2b marine group,Coral,0.031247746212353836,0.625
Taxon_84,Flavobacteriaceae,Coral,0.05433863740208462,0.59375
Taxon_86,Flavobacteriaceae: NS4 marine group,Coral,0.018882721667412207,0.59375
Taxon_91,NS7 marine group,Coral,0.0017387874697627945,0.21875
Taxon_93,Crocinitomicaceae: Salinirepens,Coral,0.02079496567660125,0.40625
Taxon_95,Crocinitomicaceae: Fluviicola,Coral,0.03549060136513383,0.59375
Taxon_98,Acholeplasmataceae: Acholeplasma,Coral,0.06286344521915,0.71875
Taxon_99,Cyanobiaceae: Cyanobium PCC-6307,Seagrass,0.05595439831794766,0.9
