OTU,taxonomy,habitat,mean_rel_abund,median_rel_abund,prevalence,max_habitat,max_mean_rel_abund
Taxon_98,Acholeplasmataceae: Acholeplasma,Coral,0.06286344521915,0.014813814684356622,0.71875,Coral,0.06286344521915
Taxon_98,Acholeplasmataceae: Acholeplasma,Mangrove,0.008391075229626909,0,0.4,Coral,0.06286344521915
Taxon_98,Acholeplasmataceae: Acholeplasma,Seagrass,0.031009955565413486,0.007200075922423553,0.65,Coral,0.06286344521915
Taxon_84,Flavobacteriaceae,Coral,0.05433863740208462,0.015035365540795136,0.59375,Coral,0.05433863740208462
Taxon_84,Flavobacteriaceae,Mangrove,0.019589115454880564,0,0.43636363636363634,Coral,0.05433863740208462
Taxon_84,Flavobacteriaceae,Seagrass,0.031241469847613813,0.009125902460586414,0.6,Coral,0.05433863740208462
Taxon_95,Crocinitomicaceae: Fluviicola,Coral,0.03549060136513383,0.03848460282458631,0.59375,Coral,0.03549060136513383
Taxon_95,Crocinitomicaceae: Fluviicola,Mangrove,0.006096929859273728,0,0.36363636363636365,Coral,0.03549060136513383
Taxon_95,Crocinitomicaceae: Fluviicola,Seagrass,0.02769223947273782,0.0167048587323467,0.7,Coral,0.03549060136513383
Taxon_82,Flavobacteriaceae: NS2b marine group,Coral,0.031247746212353836,0.013937793484585199,0.625,Coral,0.031247746212353836
Taxon_82,Flavobacteriaceae: NS2b marine group,Mangrove,0.006855973312966805,0,0.4909090909090909,Coral,0.031247746212353836
Taxon_82,Flavobacteriaceae: NS2b marine group,Seagrass,0.014248700397191765,0.007982825325456161,0.75,Coral,0.031247746212353836
Taxon_74,Flavobacteriaceae: Pseudotenacibaculum,Coral,0.023170220326415483,0.0029775640740069757,0.53125,Coral,0.023170220326415483
Taxon_74,Flavobacteriaceae: Pseudotenacibaculum,Mangrove,8.760381452548322e-4,0,0.18181818181818182,Coral,0.023170220326415483
Taxon_74,Flavobacteriaceae: Pseudotenacibaculum,Seagrass,0.0035497371642067618,0,0.3,Coral,0.023170220326415483
Taxon_93,Crocinitomicaceae: Salinirepens,Coral,0.02079496567660125,0,0.40625,Coral,0.02079496567660125
Taxon_93,Crocinitomicaceae: Salinirepens,Mangrove,0.00217068475282371,0,0.32727272727272727,Coral,0.02079496567660125
Taxon_93,Crocinitomicaceae: Salinirepens,Seagrass,0.010542674430314711,0.006366307541625857,0.5,Coral,0.02079496567660125
Taxon_6,Planctomycetota,Coral,0.020290072529840046,0.0018248175182481751,0.5,Coral,0.020290072529840046
Taxon_6,Planctomycetota,Mangrove,0.005576393123899722,0,0.2,Coral,0.020290072529840046
Taxon_6,Planctomycetota,Seagrass,0.014965817773881411,0,0.4,Coral,0.020290072529840046
Taxon_86,Flavobacteriaceae: NS4 marine group,Coral,0.018882721667412207,0.02371222246629887,0.59375,Coral,0.018882721667412207
Taxon_86,Flavobacteriaceae: NS4 marine group,Mangrove,0.012952998248103068,0.0035550735116895637,0.509090909090909,Coral,0.018882721667412207
Taxon_86,Flavobacteriaceae: NS4 marine group,Seagrass,0.017770640004787334,0.012862251909839726,0.65,Coral,0.018882721667412207
Taxon_14,Pirellulaceae: Mariniblastus,Coral,0.009290187202214098,0.0013034410844629822,0.5,Coral,0.009290187202214098
Taxon_14,Pirellulaceae: Mariniblastus,Mangrove,5.726081010523725e-4,0,0.14545454545454545,Coral,0.009290187202214098
Taxon_14,Pirellulaceae: Mariniblastus,Seagrass,0.008613992490350109,0,0.4,Coral,0.009290187202214098
Taxon_112,Halieaceae: OM60(NOR5) clade,Coral,0.005221041967663826,0,0.3125,Coral,0.005221041967663826
Taxon_112,Halieaceae: OM60(NOR5) clade,Mangrove,4.032968824035201e-4,0,0.14545454545454545,Coral,0.005221041967663826
Taxon_112,Halieaceae: OM60(NOR5) clade,Seagrass,0.0013125784052264798,0,0.25,Coral,0.005221041967663826
Taxon_30,DEV007,Coral,0.003173013558503123,0,0.34375,Coral,0.003173013558503123
Taxon_30,DEV007,Mangrove,0.0011814969891238692,0,0.12727272727272726,Coral,0.003173013558503123
Taxon_30,DEV007,Seagrass,4.576810265722835e-4,0,0.15,Coral,0.003173013558503123
Taxon_91,NS7 marine group,Coral,0.0017387874697627945,0,0.21875,Coral,0.0017387874697627945
Taxon_91,NS7 marine group,Mangrove,1.2209220356795725e-4,0,0.07272727272727272,Coral,0.0017387874697627945
Taxon_91,NS7 marine group,Seagrass,1.8496884735202485e-4,0,0.05,Coral,0.0017387874697627945
Taxon_132,Nitrincolaceae: Marinobacterium,Coral,1.0530749789385001e-5,0,0.03125,Mangrove,0.02691372947416844
Taxon_132,Nitrincolaceae: Marinobacterium,Mangrove,0.02691372947416844,0,0.4909090909090909,Mangrove,0.02691372947416844
Taxon_132,Nitrincolaceae: Marinobacterium,Seagrass,0.00807967841593962,0,0.45,Mangrove,0.02691372947416844
Taxon_100,Cyanobiaceae: Synechococcus CC9902,Coral,0.26117521076879,0.2060061977165835,0.875,Seagrass,0.2629782537209706
Taxon_100,Cyanobiaceae: Synechococcus CC9902,Mangrove,0.0779025981777921,0.053660675142481365,0.6909090909090909,Seagrass,0.2629782537209706
