taxon_id,sig_habitat,sig_coast,sig_combined,category,Phylum,Class,Order,Family,Genus,taxonomy
Taxon_166,FALSE,TRUE,TRUE,coast_only,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,AEGEAN-169 marine group
Taxon_56,FALSE,TRUE,TRUE,coast_only,Actinomycetota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,Actinomarinaceae: Candidatus Actinomarina
Taxon_203,FALSE,TRUE,FALSE,coast_only,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,NA,Beijerinckiaceae
Taxon_61,FALSE,TRUE,FALSE,coast_only,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,Chitinophagales
Taxon_170,FALSE,TRUE,TRUE,coast_only,Pseudomonadota,Alphaproteobacteria,Pelagibacterales,Clade I,Clade Ia,Clade I: Clade Ia
Taxon_162,FALSE,TRUE,FALSE,coast_only,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Ferrovaceae,Ferrovum,Ferrovaceae: Ferrovum
Taxon_85,FALSE,TRUE,TRUE,coast_only,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,Flavobacteriaceae: NS5 marine group
Taxon_42,FALSE,TRUE,TRUE,coast_only,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacteraceae: Ilumatobacter
Taxon_88,FALSE,TRUE,FALSE,coast_only,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NS11-12 marine group
Taxon_96,FALSE,TRUE,FALSE,coast_only,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NS9 marine group
Taxon_142,FALSE,TRUE,TRUE,coast_only,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,IS-44,Nitrosomonadaceae: IS-44
Taxon_129,FALSE,TRUE,TRUE,coast_only,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,OM182 clade,NA,OM182 clade
Taxon_24,FALSE,TRUE,TRUE,coast_only,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,SCGC AAA164-E04,Pedosphaeraceae: SCGC AAA164-E04
Taxon_137,FALSE,TRUE,TRUE,coast_only,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,SAR86 clade
Taxon_171,FALSE,FALSE,TRUE,combined_only,Pseudomonadota,Alphaproteobacteria,Pelagibacterales,Clade I,Clade Ib,Clade I: Clade Ib
Taxon_71,FALSE,FALSE,TRUE,combined_only,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,Cyclobacteriaceae: Marinoscillum
