term,df,sum_of_sqs,r2,statistic,p.value,model
Model,1,2.200703980746164,0.061548328505022315,6.886422273330597,0.001,turnover_protected_area
Residual,105,33.55500270049357,0.9384516714949778,NA,NA,turnover_protected_area
Total,106,35.75570668123973,1,NA,NA,turnover_protected_area
Model,1,-0.29986279890007106,-0.15683827106219245,-14.235367962376886,1,nestedness_protected_area
Residual,105,2.211786443997918,1.1568382710621927,NA,NA,nestedness_protected_area
Total,106,1.9119236450978465,1,NA,NA,nestedness_protected_area
Model,1,1.7538834387298192,0.03928259015252003,4.293324887980764,0.001,total_sorensen_protected_area
Residual,105,42.893972823296885,0.9607174098474803,NA,NA,total_sorensen_protected_area
Total,106,44.647856262026686,1,NA,NA,total_sorensen_protected_area
Model,1,2.200703980746164,0.061548328505022315,6.886422273330597,1,turnover_protected_area_blocked_by_site
Residual,105,33.55500270049357,0.9384516714949778,NA,NA,turnover_protected_area_blocked_by_site
Total,106,35.75570668123973,1,NA,NA,turnover_protected_area_blocked_by_site
Model,1,-0.29986279890007106,-0.15683827106219245,-14.235367962376886,1,nestedness_protected_area_blocked_by_site
Residual,105,2.211786443997918,1.1568382710621927,NA,NA,nestedness_protected_area_blocked_by_site
Total,106,1.9119236450978465,1,NA,NA,nestedness_protected_area_blocked_by_site
Model,1,4.0901697840987925,0.1143920834948794,13.562625788579304,0.001,turnover_east_or_west
Residual,105,31.665536897140942,0.8856079165051207,NA,NA,turnover_east_or_west
Total,106,35.75570668123973,1,NA,NA,turnover_east_or_west
Model,1,-0.5205805604483906,-0.27228104102543743,-22.471064478511973,1,nestedness_east_or_west
Residual,105,2.4325042055462363,1.272281041025437,NA,NA,nestedness_east_or_west
Total,106,1.9119236450978465,1,NA,NA,nestedness_east_or_west
Model,2,3.5902454515862647,0.10041041793952268,5.8041376167294905,0.001,turnover_habitat
Residual,104,32.16546122965348,0.8995895820604778,NA,NA,turnover_habitat
Total,106,35.75570668123973,1,NA,NA,turnover_habitat
Model,2,-0.3990286631944175,-0.20870533413691653,-8.97876187736781,1,nestedness_habitat
Residual,104,2.3109523082922623,1.2087053341369156,NA,NA,nestedness_habitat
Total,106,1.9119236450978465,1,NA,NA,nestedness_habitat
