sample_1,sample_2,beta_sor,beta_sim_turnover,beta_sne_nestedness,habitat_1,coast_1,habitat_2,coast_2,habitat_pair,same_coast
S16,S1,0.7020057306590258,0.59375,0.1082557306590258,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S17,S1,0.6936936936936937,0.6015625,0.0921311936936937,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S18,S1,0.7294117647058823,0.640625,0.08878676470588236,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S19,S1,0.7070063694267515,0.640625,0.06638136942675159,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S20,S1,0.685131195335277,0.578125,0.10700619533527697,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S26,S1,0.922077922077922,0.7692307692307693,0.15284715284715286,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S27,S1,0.9705882352941176,0.75,0.22058823529411764,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S28,S1,0.9714285714285714,0.8333333333333334,0.1380952380952381,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S29,S1,0.9847328244274809,0.6666666666666666,0.31806615776081426,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S30,S1,0.9574468085106383,0.7692307692307693,0.18821603927986907,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S31,S1,0.9141104294478528,0.8,0.11411042944785277,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S32,S1,0.9310344827586207,0.7058823529411765,0.22515212981744423,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S33,S1,0.9605263157894737,0.875,0.08552631578947369,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S34,S1,0.9574468085106383,0.7692307692307693,0.18821603927986907,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S35,S1,0.9085714285714286,0.8297872340425532,0.07878419452887538,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S41,S1,0.9354838709677419,0.8148148148148148,0.12066905615292711,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S42,S1,0.8620689655172413,0.8133333333333334,0.04873563218390805,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S43,S1,0.9300699300699301,0.6666666666666666,0.26340326340326337,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S44,S1,0.8333333333333334,0.7954545454545454,0.03787878787878788,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S45,S1,0.9217877094972067,0.8627450980392157,0.05904261145799102,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S51,S1,0.941747572815534,0.9230769230769231,0.018670649738610906,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S52,S1,0.8933333333333333,0.8762886597938144,0.0170446735395189,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S53,S1,0.8878504672897196,0.859375,0.028475467289719624,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S54,S1,0.8884462151394422,0.8861788617886179,0.0022673533508243446,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S55,S1,0.9106529209621993,0.8984375,0.012215420962199313,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S56,S1,0.7894736842105263,0.76,0.02947368421052631,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S57,S1,0.7468354430379747,0.7247706422018348,0.022064800836139823,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S58,S1,0.7400530503978779,0.6171875,0.12286555039787797,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S59,S1,0.7714285714285715,0.75,0.02142857142857143,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S60,S1,0.7485029940119761,0.671875,0.07662799401197605,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S66,S1,0.8842105263157894,0.8225806451612904,0.06162988115449916,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S67,S1,0.8103448275862069,0.7884615384615384,0.021883289124668436,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S68,S1,0.7785467128027682,0.75,0.028546712802768166,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S69,S1,0.7933333333333333,0.7578125,0.035520833333333335,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S70,S1,0.7481481481481481,0.734375,0.013773148148148147,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S71,S1,1,1,0,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S73,S1,1,1,0,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S74,S1,1,1,0,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S75,S1,0.9848484848484849,0.75,0.23484848484848486,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S77,S1,0.958041958041958,0.8,0.15804195804195806,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S78,S1,0.9586206896551724,0.8235294117647058,0.13509127789046654,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S80,S1,0.9847328244274809,0.6666666666666666,0.31806615776081426,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
S91,S1,0.7192982456140351,0.68,0.03929824561403509,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S92,S1,0.7790055248618785,0.6226415094339622,0.1563640154279162,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S93,S1,0.8471337579617835,0.5862068965517241,0.2609268614100593,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S94,S1,0.9178082191780822,0.6666666666666666,0.2511415525114155,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S95,S1,0.834319526627219,0.6585365853658537,0.1757829412613653,Seagrass,West,Mangrove,West,Mangrove_vs_Seagrass,TRUE
S101,S1,0.9565217391304348,0.7,0.2565217391304348,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S102,S1,0.9850746268656716,0.8333333333333334,0.15174129353233828,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S103,S1,0.9705882352941176,0.75,0.22058823529411764,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S104,S1,0.9448275862068966,0.7647058823529411,0.18012170385395537,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S105,S1,0.9183673469387755,0.6842105263157895,0.23415682062298604,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S16,S2,0.6564705882352941,0.6421568627450981,0.01431372549019608,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S17,S2,0.6185819070904646,0.6176470588235294,9.348482669351358e-4,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S18,S2,0.6538461538461539,0.6470588235294118,0.0067873303167420825,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S19,S2,0.6461538461538462,0.6290322580645161,0.017121588089330026,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S20,S2,0.6181384248210023,0.6078431372549019,0.010295287566100425,Coral,West,Mangrove,West,Coral_vs_Mangrove,TRUE
S26,S2,0.9304347826086956,0.6923076923076923,0.23812709030100335,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S27,S2,0.9528301886792453,0.375,0.5778301886792453,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S28,S2,0.9814814814814815,0.8333333333333334,0.14814814814814814,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S29,S2,0.9903381642512077,0.6666666666666666,0.32367149758454106,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S30,S2,0.9723502304147466,0.7692307692307693,0.2031194611839773,Seagrass,East,Mangrove,West,Mangrove_vs_Seagrass,FALSE
S31,S2,0.9246861924686193,0.7428571428571429,0.18182904961147636,Coral,East,Mangrove,West,Coral_vs_Mangrove,FALSE
