sample_name,input,denoised,nonchim
1,12906,5872,5448
2,25217,12520,11554
3,15942,6259,5756
4,10783,4267,4095
5,12004,5667,5328
6,10845,7249,5558
7,13925,9700,7215
RN01,140,1,1
8,34007,21387,18306
9,34487,21163,15027
10,16553,11196,9517
11,58426,34808,25590
12,49726,28996,23630
13,47720,27852,23381
14,56811,31706,24950
RN02,163,1,1
15,46976,28292,22624
16,17193,10431,9469
17,13203,8419,7839
18,13925,8668,7840
19,11311,6565,6148
20,14554,8986,8133
21,457,42,42
22,2269,565,516
23,3944,1617,1530
24,3889,1286,1251
25,9942,4853,4399
26,1918,839,807
27,452,88,88
28,1173,366,360
29,372,60,53
RN03,11,1,1
30,950,276,271
31,2277,891,865
32,1011,284,247
33,1982,672,665
34,1047,242,242
35,6543,2282,2137
36,1369,674,594
RN04,17,1,1
37,1345,702,644
38,774,354,337
39,566,224,216
40,3281,1949,1727
41,1666,699,657
42,4834,2752,2598
43,1113,378,378
44,5462,2804,2648
45,4219,2056,1931
46,21254,10115,8559
47,2986,1174,1013
48,35081,19125,16194
49,1506,374,348
50,3551,1310,1257
51,6961,3586,3122
RN05,60,1,1
52,8741,4719,3834
53,25699,15239,12327
54,14087,8002,6589
55,20587,11535,9404
56,7365,3420,3272
57,10139,4571,4350
58,26779,15077,13802
RN06,83,1,1
59,11613,5807,5487
60,19139,10385,9798
61,9095,4178,4011
62,6626,3050,2750
63,9383,4588,4107
64,12249,6355,5992
65,13868,7129,6458
66,5751,2269,2166
67,8970,4200,4013
68,15020,7493,7125
69,16260,8086,7615
70,12577,6142,5817
71,283,3,3
72,246,20,20
73,240,24,24
RN07,34,1,1
74,427,65,65
75,730,124,104
76,350,18,18
77,1239,331,303
78,2284,702,670
79,537,40,34
80,689,81,81
EN01,81,1,1
81,12460,6256,5472
82,38779,23178,19821
83,17791,9276,8190
84,13315,6772,5904
85,8244,4149,3521
86,11470,2836,2723
87,6628,985,939
88,20785,7659,6735
89,14048,4274,3660
90,21401,7115,6079
91,9304,4184,3898
92,3703,1154,1115
93,2617,614,611
94,1523,275,262
95,2857,948,929
96,6639,2227,1829
97,4911,1576,1333
98,12042,5410,4589
99,8125,3613,3105
100,14104,6228,5250
101,1026,201,180
102,404,63,63
103,740,198,198
104,694,186,184
105,1212,329,312
106,2995,1204,1153
107,2309,587,547
108,2100,431,418
109,1766,299,267
110,2252,431,421
EN02,5,1,1
EN03,17,3,3
