sample_1,sample_2,community_distance,ocean_distance_km,east_or_west_1,habitat_1,east_or_west_2,habitat_2,metric
S2,S1,0.38189229905516614,1.4142135623730951,west,mangrove,west,mangrove,unifrac
S3,S1,0.3498548245240962,1.4142135623730951,west,mangrove,west,mangrove,unifrac
S4,S1,0.3867620010507329,3.414213562373095,west,mangrove,west,mangrove,unifrac
S5,S1,0.4313605665234107,2.414213562373095,west,mangrove,west,mangrove,unifrac
S6,S1,0.9273751215658872,81.95331880577403,west,mangrove,west,mangrove,unifrac
S7,S1,0.9291245921652137,82.36753236814714,west,mangrove,west,mangrove,unifrac
S8,S1,0.8280174814817172,80.95331880577403,west,mangrove,west,mangrove,unifrac
S9,S1,0.8784432755382876,82.36753236814714,west,mangrove,west,mangrove,unifrac
S10,S1,0.926715213707135,81.36753236814714,west,mangrove,west,mangrove,unifrac
S11,S1,0.6620717437528904,213.2914139223987,west,mangrove,west,mangrove,unifrac
S12,S1,0.6676854335931802,214.2914139223987,west,mangrove,west,mangrove,unifrac
S13,S1,0.6598961977511681,214.2914139223987,west,mangrove,west,mangrove,unifrac
S14,S1,0.6705665423713071,214.7056274847718,west,mangrove,west,mangrove,unifrac
S15,S1,0.6535018942124349,215.7056274847718,west,mangrove,west,mangrove,unifrac
S16,S1,0.5716777035335494,222.11984104714492,west,coral,west,mangrove,unifrac
S17,S1,0.5443304559752837,220.7056274847718,west,coral,west,mangrove,unifrac
S18,S1,0.5559502238104893,220.7056274847718,west,coral,west,mangrove,unifrac
S19,S1,0.5370645071421686,220.7056274847718,west,coral,west,mangrove,unifrac
S20,S1,0.52321976972417,222.11984104714492,west,coral,west,mangrove,unifrac
S21,S1,0.9227031682583328,199.84062043356602,east,mangrove,west,mangrove,unifrac
S22,S1,0.8159385791920921,199.84062043356602,east,mangrove,west,mangrove,unifrac
S23,S1,0.7360306446883365,199.84062043356602,east,mangrove,west,mangrove,unifrac
S24,S1,0.7254197126601603,199.84062043356602,east,mangrove,west,mangrove,unifrac
S25,S1,0.6035421074738019,199.84062043356602,east,mangrove,west,mangrove,unifrac
S26,S1,0.7987669995364193,198.84062043356602,east,seagrass,west,mangrove,unifrac
S27,S1,0.8379489845837037,198.84062043356602,east,seagrass,west,mangrove,unifrac
S28,S1,0.8715718466365336,199.84062043356602,east,seagrass,west,mangrove,unifrac
S29,S1,0.9566152438413846,200.25483399593912,east,seagrass,west,mangrove,unifrac
S30,S1,0.79687834234371,200.25483399593912,east,seagrass,west,mangrove,unifrac
S31,S1,0.6846650076560905,203.6690475583122,east,coral,west,mangrove,unifrac
S32,S1,0.8308692903958541,203.6690475583122,east,coral,west,mangrove,unifrac
S33,S1,0.8061823912769721,202.6690475583122,east,coral,west,mangrove,unifrac
S34,S1,0.8307690527770745,202.6690475583122,east,coral,west,mangrove,unifrac
S35,S1,0.6905555848171195,202.6690475583122,east,coral,west,mangrove,unifrac
S36,S1,0.9461605436208599,322.492424049175,east,mangrove,west,mangrove,unifrac
S37,S1,0.9648753814169511,321.492424049175,east,mangrove,west,mangrove,unifrac
S38,S1,0.9512574175928614,320.492424049175,east,mangrove,west,mangrove,unifrac
S39,S1,0.9581011242120109,319.9066376115481,east,mangrove,west,mangrove,unifrac
S40,S1,0.9184614368879618,318.492424049175,east,mangrove,west,mangrove,unifrac
S41,S1,0.7468349157440441,429.5634918610398,east,coral,west,mangrove,unifrac
S42,S1,0.6584201704537612,429.1492782986666,east,coral,west,mangrove,unifrac
S43,S1,0.781678627018311,429.1492782986666,east,coral,west,mangrove,unifrac
S44,S1,0.6333330067455518,430.1492782986666,east,coral,west,mangrove,unifrac
S45,S1,0.7206163949067709,429.1492782986666,east,coral,west,mangrove,unifrac
S46,S1,0.7072147392807139,428.5634918610398,east,mangrove,west,mangrove,unifrac
S47,S1,0.8371981557980931,428.5634918610398,east,mangrove,west,mangrove,unifrac
S48,S1,0.6659684569328448,428.5634918610398,east,mangrove,west,mangrove,unifrac
S49,S1,0.9121419809555665,429.5634918610398,east,mangrove,west,mangrove,unifrac
S50,S1,0.7994547419776007,429.5634918610398,east,mangrove,west,mangrove,unifrac
