"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S73","S74","S75","S77","S78","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110"
"S1",0,1.4142135623731,1.4142135623731,3.4142135623731,2.4142135623731,81.953318805774,82.3675323681471,80.953318805774,82.3675323681471,81.3675323681471,213.291413922399,214.291413922399,214.291413922399,214.705627484772,215.705627484772,222.119841047145,220.705627484772,220.705627484772,220.705627484772,222.119841047145,199.840620433566,199.840620433566,199.840620433566,199.840620433566,199.840620433566,198.840620433566,198.840620433566,199.840620433566,200.254833995939,200.254833995939,203.669047558312,203.669047558312,202.669047558312,202.669047558312,202.669047558312,322.492424049175,321.492424049175,320.492424049175,319.906637611548,318.492424049175,429.56349186104,429.149278298667,429.149278298667,430.149278298667,429.149278298667,428.56349186104,428.56349186104,428.56349186104,429.56349186104,429.56349186104,494.906637611547,494.906637611547,494.906637611547,493.906637611547,493.906637611547,752.631601080069,752.631601080069,754.045814642442,753.631601080069,752.631601080069,745.661038331591,745.661038331591,746.661038331591,747.075251893965,748.075251893965,772.661038331591,772.661038331591,772.661038331591,772.661038331591,773.075251893964,644.788888605454,644.788888605454,644.788888605454,644.788888605454,621.303607231216,621.303607231216,621.303607231216,615.688383542066,615.688383542066,615.688383542066,615.688383542066,615.688383542066,642.808224589208,642.808224589208,642.394011026835,642.394011026835,642.394011026835,626.4650788387,627.4650788387,627.4650788387,626.4650788387,626.4650788387,550.038671967509,550.038671967509,550.038671967509,550.038671967509,551.038671967509,484.281312654629,485.523953341748,485.938166904122,487.523953341748,485.695526217002,319.901586977664,319.487373415291,318.487373415291,318.073159852918,318.073159852918
"S2",1.4142135623731,0,2,4,3.82842712474619,80.5391052434009,80.953318805774,79.5391052434009,80.953318805774,79.953318805774,211.877200360026,212.877200360026,212.877200360026,213.291413922399,214.291413922399,220.705627484772,219.291413922399,219.291413922399,219.291413922399,220.705627484772,200.426406871193,200.426406871193,200.426406871193,200.426406871193,200.426406871193,199.426406871193,199.426406871193,200.426406871193,200.840620433566,200.840620433566,204.254833995939,204.254833995939,203.254833995939,203.254833995939,203.254833995939,323.078210486802,322.078210486802,321.078210486802,320.492424049175,319.078210486802,430.149278298667,429.735064736294,429.735064736294,430.735064736294,429.735064736294,429.149278298667,429.149278298667,429.149278298667,430.149278298667,430.149278298667,495.492424049174,495.492424049174,495.492424049174,494.492424049174,494.492424049174,751.217387517696,751.217387517696,752.631601080069,752.217387517696,751.217387517696,744.246824769219,744.246824769219,745.246824769219,745.661038331591,746.661038331591,771.246824769218,771.246824769218,771.246824769218,771.246824769218,771.661038331591,645.374675043081,645.374675043081,645.374675043081,645.374675043081,621.889393668843,621.889393668843,621.889393668843,616.274169979693,616.274169979693,616.274169979693,616.274169979693,616.274169979693,641.394011026835,641.394011026835,640.979797464462,640.979797464462,640.979797464462,625.050865276327,626.050865276327,626.050865276327,625.050865276327,625.050865276327,548.624458405136,548.624458405136,548.624458405136,548.624458405136,549.624458405136,482.867099092256,484.109739779375,484.523953341748,486.109739779375,484.281312654629,318.487373415291,318.073159852918,317.073159852918,316.658946290545,316.658946290545
"S3",1.4142135623731,2,0,2,2.4142135623731,81.3675323681471,81.7817459305202,80.3675323681471,81.7817459305202,80.7817459305202,212.705627484772,213.705627484772,213.705627484772,214.119841047145,215.119841047145,221.534054609518,220.119841047145,220.119841047145,220.119841047145,221.534054609518,201.254833995939,201.254833995939,201.254833995939,201.254833995939,201.254833995939,200.254833995939,200.254833995939,201.254833995939,201.669047558312,201.669047558312,205.083261120685,205.083261120685,204.083261120685,204.083261120685,204.083261120685,323.906637611548,322.906637611548,321.906637611548,321.320851173921,319.906637611548,430.977705423413,430.56349186104,430.56349186104,431.56349186104,430.56349186104,429.977705423413,429.977705423413,429.977705423413,430.977705423413,430.977705423413,496.32085117392,496.32085117392,496.32085117392,495.32085117392,495.32085117392,752.045814642442,752.045814642442,753.460028204815,753.045814642442,752.045814642442,745.075251893965,745.075251893965,746.075251893965,746.489465456338,747.489465456338,772.075251893964,772.075251893964,772.075251893964,772.075251893964,772.489465456337,646.203102167827,646.203102167827,646.203102167827,646.203102167827,622.717820793589,622.717820793589,622.717820793589,617.102597104439,617.102597104439,617.102597104439,617.102597104439,617.102597104439,642.222438151581,642.222438151581,641.808224589208,641.808224589208,641.808224589208,625.879292401073,626.879292401073,626.879292401073,625.879292401073,625.879292401073,549.452885529882,549.452885529882,549.452885529882,549.452885529882,550.452885529882,483.695526217002,484.938166904122,485.352380466495,486.938166904121,485.109739779375,319.315800540037,318.901586977664,317.901586977664,317.487373415291,317.487373415291
"S4",3.4142135623731,4,2,0,2.4142135623731,82.1959594928933,82.6101730552664,81.1959594928933,82.6101730552664,81.6101730552664,213.534054609518,214.534054609518,214.534054609518,214.948268171891,215.948268171891,222.362481734264,220.948268171891,220.948268171891,220.948268171891,222.362481734264,201.254833995939,201.254833995939,201.254833995939,201.254833995939,201.254833995939,200.254833995939,200.254833995939,201.254833995939,201.669047558312,201.669047558312,205.083261120685,205.083261120685,204.083261120685,204.083261120685,204.083261120685,323.906637611548,322.906637611548,321.906637611548,321.320851173921,319.906637611548,430.977705423413,430.56349186104,430.56349186104,431.56349186104,430.56349186104,429.977705423413,429.977705423413,429.977705423413,430.977705423413,430.977705423413,496.32085117392,496.32085117392,496.32085117392,495.32085117392,495.32085117392,752.874241767188,752.874241767188,754.288455329561,753.874241767188,752.874241767188,745.903679018711,745.903679018711,746.903679018711,747.317892581084,748.317892581084,772.90367901871,772.90367901871,772.90367901871,772.90367901871,773.317892581083,646.203102167827,646.203102167827,646.203102167827,646.203102167827,622.717820793589,622.717820793589,622.717820793589,617.102597104439,617.102597104439,617.102597104439,617.102597104439,617.102597104439,643.050865276327,643.050865276327,642.636651713954,642.636651713954,642.636651713954,626.70771952582,627.70771952582,627.70771952582,626.70771952582,626.70771952582,550.281312654628,550.281312654628,550.281312654628,550.281312654628,551.281312654628,484.523953341748,485.766594028868,486.180807591241,487.766594028868,485.938166904121,320.144227664784,319.73001410241,318.73001410241,318.315800540037,318.315800540037
"S5",2.4142135623731,3.82842712474619,2.4142135623731,2.4142135623731,0,83.7817459305202,84.1959594928933,82.7817459305202,84.1959594928933,83.1959594928933,215.119841047145,216.119841047145,216.119841047145,216.534054609518,217.534054609518,223.948268171891,222.534054609518,222.534054609518,222.534054609518,223.948268171891,199.669047558312,199.669047558312,199.669047558312,199.669047558312,199.669047558312,198.669047558312,198.669047558312,199.669047558312,200.083261120685,200.083261120685,203.497474683058,203.497474683058,202.497474683058,202.497474683058,202.497474683058,322.320851173921,321.320851173921,320.320851173921,319.735064736294,318.320851173921,429.391918985786,428.977705423413,428.977705423413,429.977705423413,428.977705423413,428.391918985786,428.391918985786,428.391918985786,429.391918985786,429.391918985786,494.735064736293,494.735064736293,494.735064736293,493.735064736293,493.735064736293,754.460028204815,754.460028204815,755.874241767188,755.460028204815,754.460028204815,747.489465456338,747.489465456338,748.489465456338,748.903679018711,749.903679018711,774.489465456337,774.489465456337,774.489465456337,774.489465456337,774.90367901871,644.6173157302,644.6173157302,644.6173157302,644.6173157302,621.132034355962,621.132034355962,621.132034355962,615.516810666812,615.516810666812,615.516810666812,615.516810666812,615.516810666812,644.636651713954,644.636651713954,644.222438151581,644.222438151581,644.222438151581,628.293505963447,629.293505963447,629.293505963447,628.293505963447,628.293505963447,551.867099092255,551.867099092255,551.867099092255,551.867099092255,552.867099092255,486.109739779375,487.352380466495,487.766594028868,489.352380466495,487.523953341748,321.73001410241,321.315800540037,320.315800540037,319.901586977664,319.901586977664
"S6",81.953318805774,80.5391052434009,81.3675323681471,82.1959594928933,83.7817459305202,0,1,1,1,1.4142135623731,131.338095116624,132.338095116624,132.338095116624,132.752308678997,133.752308678997,140.166522241371,138.752308678997,138.752308678997,138.752308678997,140.166522241371,279.308657865101,279.308657865101,279.308657865101,279.308657865101,279.308657865101,278.308657865101,278.308657865101,279.308657865101,279.722871427475,279.722871427475,283.137084989847,283.137084989847,282.137084989847,282.137084989847,282.137084989847,401.960461480709,400.960461480709,399.960461480709,399.374675043082,397.960461480709,509.031529292574,508.617315730201,508.617315730201,509.617315730201,508.617315730201,508.031529292574,508.031529292574,508.031529292574,509.031529292574,509.031529292574,574.374675043081,574.374675043081,574.374675043081,573.374675043081,573.374675043081,670.678282274296,670.678282274296,672.092495836669,671.678282274296,670.678282274296,663.707719525819,663.707719525819,664.707719525819,665.121933088192,666.121933088192,690.707719525818,690.707719525818,690.707719525818,690.707719525818,691.121933088191,724.256926036988,724.256926036988,724.256926036988,724.256926036988,700.77164466275,700.77164466275,700.77164466275,695.1564209736,695.1564209736,695.1564209736,695.1564209736,695.1564209736,560.854905783435,560.854905783435,560.440692221062,560.440692221062,560.440692221062,544.511760032928,545.511760032928,545.511760032928,544.511760032928,544.511760032928,468.085353161736,468.085353161736,468.085353161736,468.085353161736,469.085353161736,402.327993848856,403.570634535976,403.984848098349,405.570634535976,403.742207411229,237.948268171891,237.534054609518,236.534054609518,236.119841047145,236.119841047145
"S7",82.3675323681471,80.953318805774,81.7817459305202,82.6101730552664,84.1959594928933,1,0,1.4142135623731,0,1,130.923881554251,131.923881554251,131.923881554251,132.338095116624,133.338095116624,139.752308678997,138.338095116624,138.338095116624,138.338095116624,139.752308678997,279.722871427475,279.722871427475,279.722871427475,279.722871427475,279.722871427475,278.722871427475,278.722871427475,279.722871427475,280.137084989848,280.137084989848,283.551298552221,283.551298552221,282.551298552221,282.551298552221,282.551298552221,402.374675043082,401.374675043082,400.374675043082,399.788888605455,398.374675043082,509.445742854947,509.031529292574,509.031529292574,510.031529292574,509.031529292574,508.445742854947,508.445742854947,508.445742854947,509.445742854947,509.445742854947,574.788888605454,574.788888605454,574.788888605454,573.788888605454,573.788888605454,670.264068711923,670.264068711923,671.678282274296,671.264068711923,670.264068711923,663.293505963446,663.293505963446,664.293505963446,664.707719525819,665.707719525819,690.293505963445,690.293505963445,690.293505963445,690.293505963445,690.707719525818,724.671139599362,724.671139599362,724.671139599362,724.671139599362,701.185858225123,701.185858225123,701.185858225123,695.570634535973,695.570634535973,695.570634535973,695.570634535973,695.570634535973,560.440692221062,560.440692221062,560.026478658689,560.026478658689,560.026478658689,544.097546470555,545.097546470555,545.097546470555,544.097546470555,544.097546470555,467.671139599363,467.671139599363,467.671139599363,467.671139599363,468.671139599363,401.913780286483,403.156420973603,403.570634535976,405.156420973603,403.327993848856,237.534054609518,237.119841047145,236.119841047145,235.705627484772,235.705627484772
"S8",80.953318805774,79.5391052434009,80.3675323681471,81.1959594928933,82.7817459305202,1,1.4142135623731,0,1.4142135623731,1,132.338095116624,133.338095116624,133.338095116624,133.752308678997,134.752308678997,141.166522241371,139.752308678997,139.752308678997,139.752308678997,141.166522241371,278.308657865101,278.308657865101,278.308657865101,278.308657865101,278.308657865101,277.308657865101,277.308657865101,278.308657865101,278.722871427475,278.722871427475,282.137084989847,282.137084989847,281.137084989848,281.137084989848,281.137084989848,400.960461480709,399.960461480709,398.960461480709,398.374675043082,396.960461480709,508.031529292574,507.617315730201,507.617315730201,508.617315730201,507.617315730201,507.031529292574,507.031529292574,507.031529292574,508.031529292574,508.031529292574,573.374675043081,573.374675043081,573.374675043081,572.374675043081,572.374675043081,671.678282274296,671.678282274296,673.092495836669,672.678282274296,671.678282274296,664.707719525819,664.707719525819,665.707719525819,666.121933088192,667.121933088192,691.707719525818,691.707719525818,691.707719525818,691.707719525818,692.121933088191,723.256926036988,723.256926036988,723.256926036988,723.256926036988,699.77164466275,699.77164466275,699.77164466275,694.1564209736,694.1564209736,694.1564209736,694.1564209736,694.1564209736,561.854905783435,561.854905783435,561.440692221062,561.440692221062,561.440692221062,545.511760032928,546.511760032928,546.511760032928,545.511760032928,545.511760032928,469.085353161736,469.085353161736,469.085353161736,469.085353161736,470.085353161736,403.327993848856,404.570634535976,404.984848098349,406.570634535976,404.742207411229,238.948268171891,238.534054609518,237.534054609518,237.119841047145,237.119841047145
"S9",82.3675323681471,80.953318805774,81.7817459305202,82.6101730552664,84.1959594928933,1,0,1.4142135623731,0,1,130.923881554251,131.923881554251,131.923881554251,132.338095116624,133.338095116624,139.752308678997,138.338095116624,138.338095116624,138.338095116624,139.752308678997,279.722871427475,279.722871427475,279.722871427475,279.722871427475,279.722871427475,278.722871427475,278.722871427475,279.722871427475,280.137084989848,280.137084989848,283.551298552221,283.551298552221,282.551298552221,282.551298552221,282.551298552221,402.374675043082,401.374675043082,400.374675043082,399.788888605455,398.374675043082,509.445742854947,509.031529292574,509.031529292574,510.031529292574,509.031529292574,508.445742854947,508.445742854947,508.445742854947,509.445742854947,509.445742854947,574.788888605454,574.788888605454,574.788888605454,573.788888605454,573.788888605454,670.264068711923,670.264068711923,671.678282274296,671.264068711923,670.264068711923,663.293505963446,663.293505963446,664.293505963446,664.707719525819,665.707719525819,690.293505963445,690.293505963445,690.293505963445,690.293505963445,690.707719525818,724.671139599362,724.671139599362,724.671139599362,724.671139599362,701.185858225123,701.185858225123,701.185858225123,695.570634535973,695.570634535973,695.570634535973,695.570634535973,695.570634535973,560.440692221062,560.440692221062,560.026478658689,560.026478658689,560.026478658689,544.097546470555,545.097546470555,545.097546470555,544.097546470555,544.097546470555,467.671139599363,467.671139599363,467.671139599363,467.671139599363,468.671139599363,401.913780286483,403.156420973603,403.570634535976,405.156420973603,403.327993848856,237.534054609518,237.119841047145,236.119841047145,235.705627484772,235.705627484772
"S10",81.3675323681471,79.953318805774,80.7817459305202,81.6101730552664,83.1959594928933,1.4142135623731,1,1,1,0,131.923881554251,132.923881554251,132.923881554251,133.338095116624,134.338095116624,140.752308678997,139.338095116624,139.338095116624,139.338095116624,140.752308678997,278.722871427475,278.722871427475,278.722871427475,278.722871427475,278.722871427475,277.722871427475,277.722871427475,278.722871427475,279.137084989848,279.137084989848,282.551298552221,282.551298552221,281.551298552221,281.551298552221,281.551298552221,401.374675043082,400.374675043082,399.374675043082,398.788888605455,397.374675043082,508.445742854947,508.031529292574,508.031529292574,509.031529292574,508.031529292574,507.445742854947,507.445742854947,507.445742854947,508.445742854947,508.445742854947,573.788888605454,573.788888605454,573.788888605454,572.788888605454,572.788888605454,671.264068711923,671.264068711923,672.678282274296,672.264068711923,671.264068711923,664.293505963446,664.293505963446,665.293505963446,665.707719525819,666.707719525819,691.293505963445,691.293505963445,691.293505963445,691.293505963445,691.707719525818,723.671139599362,723.671139599362,723.671139599362,723.671139599362,700.185858225123,700.185858225123,700.185858225123,694.570634535973,694.570634535973,694.570634535973,694.570634535973,694.570634535973,561.440692221062,561.440692221062,561.026478658689,561.026478658689,561.026478658689,545.097546470555,546.097546470555,546.097546470555,545.097546470555,545.097546470555,468.671139599363,468.671139599363,468.671139599363,468.671139599363,469.671139599363,402.913780286483,404.156420973603,404.570634535976,406.156420973603,404.327993848856,238.534054609518,238.119841047145,237.119841047145,236.705627484772,236.705627484772
