Sample,Site name,Site code,Site replicate,Habitat,Coast,Protected area,Latitude,Longitude,Sampling date,Volume (mL)
S1,Kukup,Man_Kukup,1,Mangrove,West,N,1.334569,103.430838,2025-04-12,5000
S2,Kukup,Man_Kukup,2,Mangrove,West,N,1.339308,103.417687,2025-04-12,5000
S3,Kukup,Man_Kukup,3,Mangrove,West,N,1.32334,103.417405,2025-04-12,5000
S4,Kukup,Man_Kukup,4,Mangrove,West,N,1.307934,103.419101,2025-04-12,5000
S5,Kukup,Man_Kukup,5,Mangrove,West,N,1.31334,103.437827,2025-04-12,5000
S6,Batu Pahat,Man_Batu_Pahat,1,Mangrove,West,N,1.814848,102.886778,2025-04-13,5000
S7,Batu Pahat,Man_Batu_Pahat,2,Mangrove,West,N,1.819224,102.890102,2025-04-13,5000
S8,Batu Pahat,Man_Batu_Pahat,3,Mangrove,West,N,1.813331,102.893828,2025-04-13,5000
S9,Batu Pahat,Man_Batu_Pahat,4,Mangrove,West,N,1.817167,102.892885,2025-04-13,5000
S10,Batu Pahat,Man_Batu_Pahat,5,Mangrove,West,N,1.822633,102.895415,2025-04-13,5000
S11,Pasir Panjang,Man_PPAF,1,Mangrove,West,N,2.400972,101.954072,2025-04-14,5000
S12,Pasir Panjang,Man_PPAF,2,Mangrove,West,N,2.404443,101.949849,2025-04-14,5000
S13,Pasir Panjang,Man_PPAF,3,Mangrove,West,N,2.40735,101.945124,2025-04-14,5000
S14,Pasir Panjang,Man_PPAF,4,Mangrove,West,N,2.408991,101.942416,2025-04-14,5000
S15,Pasir Panjang,Man_PPAF,5,Mangrove,West,N,2.412531,101.939708,2025-04-14,5000
S16,Pulau Babi,Cor_ PB_PP,1,Coral,West,Y,2.416537,101.886223,2025-04-15,5000
S17,Pulau Babi,Cor_ PB_PP,2,Coral,West,Y,2.415967,101.889648,2025-04-15,5000
S18,Pulau Babi,Cor_ PB_PP,3,Coral,West,Y,2.414291,101.892398,2025-04-15,5000
