Sample,Sample type,Site name,Site code,Site replicate,Habitat,Coast,Protected area,Latitude,Longitude,Sampling date,Volume (mL),Retained reads,Final analysis status
S1,Environmental sample,Kukup,Man_Kukup,1,Mangrove,West,N,1.334569,103.430838,2025-04-12,5000,3510,Retained
S2,Environmental sample,Kukup,Man_Kukup,2,Mangrove,West,N,1.339308,103.417687,2025-04-12,5000,7155,Retained
S3,Environmental sample,Kukup,Man_Kukup,3,Mangrove,West,N,1.32334,103.417405,2025-04-12,5000,3757,Retained
S4,Environmental sample,Kukup,Man_Kukup,4,Mangrove,West,N,1.307934,103.419101,2025-04-12,5000,2634,Retained
S5,Environmental sample,Kukup,Man_Kukup,5,Mangrove,West,N,1.31334,103.437827,2025-04-12,5000,4166,Retained
S6,Environmental sample,Batu Pahat,Man_Batu_Pahat,1,Mangrove,West,N,1.814848,102.886778,2025-04-13,5000,4231,Retained
S7,Environmental sample,Batu Pahat,Man_Batu_Pahat,2,Mangrove,West,N,1.819224,102.890102,2025-04-13,5000,4937,Retained
RN01,Negative control,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,Blank,0,Negative control
S8,Environmental sample,Batu Pahat,Man_Batu_Pahat,3,Mangrove,West,N,1.813331,102.893828,2025-04-13,5000,13348,Retained
S9,Environmental sample,Batu Pahat,Man_Batu_Pahat,4,Mangrove,West,N,1.817167,102.892885,2025-04-13,5000,9127,Retained
S10,Environmental sample,Batu Pahat,Man_Batu_Pahat,5,Mangrove,West,N,1.822633,102.895415,2025-04-13,5000,6805,Retained
S11,Environmental sample,Pasir Panjang,Man_PPAF,1,Mangrove,West,N,2.400972,101.954072,2025-04-14,5000,17059,Retained
S12,Environmental sample,Pasir Panjang,Man_PPAF,2,Mangrove,West,N,2.404443,101.949849,2025-04-14,5000,14100,Retained
S13,Environmental sample,Pasir Panjang,Man_PPAF,3,Mangrove,West,N,2.40735,101.945124,2025-04-14,5000,15457,Retained
S14,Environmental sample,Pasir Panjang,Man_PPAF,4,Mangrove,West,N,2.408991,101.942416,2025-04-14,5000,15281,Retained
RN02,Negative control,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,Blank,0,Negative control
S15,Environmental sample,Pasir Panjang,Man_PPAF,5,Mangrove,West,N,2.412531,101.939708,2025-04-14,5000,14724,Retained
S16,Environmental sample,Pulau Babi,Cor_ PB_PP,1,Coral,West,Y,2.416537,101.886223,2025-04-15,5000,7029,Retained
S17,Environmental sample,Pulau Babi,Cor_ PB_PP,2,Coral,West,Y,2.415967,101.889648,2025-04-15,5000,5924,Retained
S18,Environmental sample,Pulau Babi,Cor_ PB_PP,3,Coral,West,Y,2.414291,101.892398,2025-04-15,5000,5599,Retained
S19,Environmental sample,Pulau Babi,Cor_ PB_PP,4,Coral,West,Y,2.413761,101.895526,2025-04-15,5000,4591,Retained
S20,Environmental sample,Pulau Babi,Cor_ PB_PP,5,Coral,West,Y,2.417129,101.883533,2025-04-15,5000,5987,Retained
S21,Environmental sample,Pulau Tinggi,Man_Pulau_Tinggi,1,Mangrove,East,Y,2.287462,104.109177,2025-04-26,5000,42,Retained
S22,Environmental sample,Pulau Tinggi,Man_Pulau_Tinggi,2,Mangrove,East,Y,2.289198,104.110969,2025-04-26,5000,432,Retained
S23,Environmental sample,Pulau Tinggi,Man_Pulau_Tinggi,3,Mangrove,East,Y,2.290686,104.110262,2025-04-26,5000,894,Retained
S24,Environmental sample,Pulau Tinggi,Man_Pulau_Tinggi,4,Mangrove,East,Y,2.290271,104.108844,2025-04-26,5000,962,Retained
S25,Environmental sample,Pulau Tinggi,Man_Pulau_Tinggi,5,Mangrove,East,Y,2.289627,104.110053,2025-04-26,5000,2965,Retained
S26,Environmental sample,Pulau Tinggi,SeG_PulauTinggi,1,Seagrass,East,Y,2.280441,104.113867,2025-04-26,5000,538,Retained
S27,Environmental sample,Pulau Tinggi,SeG_PulauTinggi,2,Seagrass,East,Y,2.279617,104.11021,2025-04-26,5000,88,Retained
S28,Environmental sample,Pulau Tinggi,SeG_PulauTinggi,3,Seagrass,East,Y,2.282247,104.106545,2025-04-26,5000,255,Retained
S29,Environmental sample,Pulau Tinggi,SeG_PulauTinggi,4,Seagrass,East,Y,2.28497,104.105134,2025-04-26,5000,32,Retained
RN03,Negative control,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,Blank,0,Negative control
S30,Environmental sample,Pulau Tinggi,SeG_PulauTinggi,5,Seagrass,East,Y,2.288352,104.10363,2025-04-26,5000,221,Retained
S31,Environmental sample,Pulau Tinggi,Cor_Pulau_Tinggi,1,Coral,East,Y,2.312019,104.091371,2025-04-26,5000,702,Retained
S32,Environmental sample,Pulau Tinggi,Cor_Pulau_Tinggi,2,Coral,East,Y,2.309456,104.09154,2025-04-26,5000,223,Retained
S33,Environmental sample,Pulau Tinggi,Cor_Pulau_Tinggi,3,Coral,East,Y,2.302878,104.092553,2025-04-26,5000,525,Retained
